,latitude,longitude,city,num
152,-4.794367,140.768766,Pegunungan Bintang district,1
153,-4.775278,136.558611,Timika,1
154,-4.722688,136.4922,Mimika district,1
155,-4.693395,139.364375,Unknown,1
156,-4.574004,138.358909,Kenyam,1
157,-4.555455,140.562485,Pegunungan Bintang district,1
158,-4.553347,136.8883,Timika,1
159,-4.551947,136.885009,Timika,2
160,-4.55013,136.889096,Timika,8
161,-4.548563,136.890763,Timika,1
162,-4.484785,138.219452,Mapenduma,1
163,-4.472451,136.834972,Utikini Baru,1
164,-4.467386,138.350384,Kampung Munia,1
165,-4.466962,136.817821,Utikini,1
166,-4.457827,137.122554,Mimika district,2
167,-4.40695,138.239353,Nduga district,1
168,-4.406949,138.237478,Nduga district,1
169,-4.405749,138.236189,Nduga district,2
170,-4.392946,138.237149,Nduga district,1
171,-4.3866,138.232,Kenyam,2
172,-4.371137,136.962266,Kimbely,1
173,-4.346411,138.094482,Yuroot,1
174,-4.342588,138.458738,Yal,1
175,-4.333333,137.0,Tembagapura,1
176,-4.333193,136.999945,Tembagapura,1
177,-4.333184,136.999194,Tembagapura,1
178,-4.330066,136.91186,Mimika district,2
179,-4.288215,137.457698,Jila,1
180,-4.28068,138.050537,Akiba,1
181,-4.279883,138.348936,Mugi,2
182,-4.279883,138.348936,Nduga district,1
183,-4.279883,138.348936,Yigi,1
184,-4.271172,138.09691,Unknown,4
185,-4.269928,138.080353,Ilambet,1
186,-4.269928,138.080353,Unknown,1
187,-4.266966,137.0472,Tembagadura,1
188,-4.266966,137.0472,Tembagapura,1
189,-4.14744,137.091323,Kampung Aroanop,1
190,-4.143584,137.090491,Tembagapura,2
191,-4.141893,137.089845,Tembagapura,1
192,-4.141596,137.09047,Tembagapura,1
193,-4.13694,137.090502,Tembagapura,1
194,-4.09989,137.163391,Puncak Jaya district,1
195,-4.096378,138.9514,Indawa,1
196,-4.096378,138.9514,Lani Jaya,1
197,-4.091421,137.117461,Puncak Jaya district,1
198,-4.091421,137.117461,Punkcak Jaya,1
199,-4.085682,137.189044,Puncak Jaya district,1
200,-4.083611,137.184722,Puncak Jaya,1
201,-4.083611,137.184722,Puncak Jaya district,1
202,-4.067778,102.513056,Padang,1
203,-4.066665,137.428537,Eromage,1
204,-4.055117,137.100807,Grasberg,1
